"ADMINID","ENRORGID","PERMNUMBER","GRADE","GRADEBEGIN","GRADEEND","SY"
"SU021","PS187","1231606","08","09/08/2020","","2021"
"SU021","PS187","1231673","10","09/08/2020","","2021"
"SU021","PS187","1231724","12","09/08/2020","","2021"
"SU021","PS187","1231746","07","09/08/2020","","2021"
"SU021","PS187","1231781","07","09/08/2020","","2021"
"SU021","PS187","1231837","07","09/08/2020","","2021"
"SU021","PS187","1231868","12","09/08/2020","","2021"
"SU021","PS187","1231998","11","09/08/2020","","2021"
"SU021","PS187","1232085","07","09/08/2020","","2021"
"SU021","PS187","1232091","07","09/16/2020","","2021"
"SU021","PS187","1232109","11","09/08/2020","","2021"
"SU021","PS187","1232142","10","09/08/2020","","2021"
"SU021","PS187","1232162","07","09/08/2020","","2021"
"SU021","PS187","1232164","08","09/08/2020","","2021"
"SU021","PS187","1232256","12","09/08/2020","","2021"
"SU021","PS187","1232288","10","09/08/2020","","2021"
"SU021","PS187","1232331","08","09/08/2020","","2021"
"SU021","PS187","1232381","07","09/08/2020","","2021"
"SU021","PS187","1232391","09","09/08/2020","","2021"
"SU021","PS187","1232414","09","09/08/2020","","2021"
"SU021","PS187","1232418","08","09/08/2020","","2021"
"SU021","PS187","1232445","08","09/08/2020","","2021"
"SU021","PS187","1232564","08","09/08/2020","","2021"
"SU021","PS187","1232575","09","09/08/2020","","2021"
"SU021","PS187","1232579","08","09/08/2020","","2021"
"SU021","PS187","1232595","08","09/08/2020","","2021"
"SU021","PS187","1232649","09","09/08/2020","","2021"
"SU021","PS187","1232665","07","09/08/2020","","2021"
"SU021","PS187","1232710","08","09/08/2020","","2021"
"SU021","PS187","1232746","07","09/08/2020","","2021"
"SU021","PS187","1232901","07","09/08/2020","","2021"
"SU021","PS187","1232916","11","09/08/2020","","2021"
"SU021","PS187","1232934","08","09/08/2020","","2021"
"SU021","PS187","1232947","09","09/16/2020","","2021"
"SU021","PS187","1232949","11","09/08/2020","","2021"
"SU021","PS187","1232972","08","09/16/2020","","2021"
"SU021","PS187","1232977","07","09/08/2020","","2021"
"SU021","PS187","1233107","08","09/08/2020","","2021"
"SU021","PS187","1233117","08","09/08/2020","","2021"
"SU021","PS187","1233151","08","09/08/2020","","2021"
"SU021","PS187","1233155","08","09/08/2020","","2021"
"SU021","PS187","1233224","07","10/26/2020","01/06/2021","2021"
"SU021","PS187","1233289","09","09/08/2020","","2021"
"SU021","PS187","1233356","09","09/08/2020","","2021"
"SU021","PS187","1233361","07","09/08/2020","","2021"
"SU021","PS187","1233416","07","09/08/2020","","2021"
"SU021","PS187","1233435","07","09/08/2020","","2021"
